match_date,Ground,Team 1,Team 2,Winner,year,month,day,win_mode,margin,toss_winner,toss_decision,match_no
2010-04-04,Delhi,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,2010,4,4,Runs,37.0,Delhi Capitals,bat first,153
2010-04-05,Nagpur,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,2010,4,5,Runs,2.0,Rajasthan Royals,bat first,154
2010-04-06,Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,2010,4,6,Runs,24.0,Chennai Super Kings,bat first,155
2010-04-07,Jaipur,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,2010,4,7,Wickets,9.0,Kings XI Punjab,bat first,156
2010-04-07,Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,2010,4,7,Runs,14.0,Kolkata Knight Riders,bat first,157
2010-04-08,"Bengaluru, Bangalore",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,2010,4,8,Wickets,7.0,Deccan Chargers,field first,158
2010-04-09,"Mohali, Chandigarh",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,2010,4,9,Wickets,6.0,Mumbai Indians,bat first,159
2010-04-10,Nagpur,Deccan Chargers,Chennai Super Kings,Deccan Chargers,2010,4,10,Wickets,6.0,Chennai Super Kings,bat first,160
2010-04-10,"Bengaluru, Bangalore",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,2010,4,10,Wickets,7.0,Royal Challengers Bangalore,field first,161
2010-04-11,Delhi,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,2010,4,11,Wickets,7.0,Delhi Capitals,bat first,162
2010-04-11,Jaipur,Rajasthan Royals,Mumbai Indians,Mumbai Indians,2010,4,11,Runs,37.0,Rajasthan Royals,field first,163
2010-04-12,Nagpur,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,2010,4,12,Runs,13.0,Royal Challengers Bangalore,field first,164
2010-04-13,Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians,2010,4,13,Runs,39.0,Mumbai Indians,bat first,165
2010-04-13,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2010,4,13,Wickets,9.0,Kolkata Knight Riders,bat first,166
2010-04-14,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,2010,4,14,Wickets,5.0,Rajasthan Royals,bat first,167
2010-04-15,Chennai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,2010,4,15,Wickets,6.0,Chennai Super Kings,bat first,168
2010-04-16,Dharamsala,Kings XI Punjab,Deccan Chargers,Deccan Chargers,2010,4,16,Wickets,5.0,Deccan Chargers,field first,169
2010-04-17,"Bengaluru, Bangalore",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,2010,4,17,Runs,57.0,Royal Challengers Bangalore,field first,170
2010-04-17,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,2010,4,17,Wickets,8.0,Rajasthan Royals,bat first,171
2010-04-18,Dharamsala,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,2010,4,18,Wickets,6.0,Chennai Super Kings,field first,172
2010-04-18,Delhi,Delhi Capitals,Deccan Chargers,Deccan Chargers,2010,4,18,Runs,11.0,Deccan Chargers,bat first,173
2010-04-19,Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,2010,4,19,Wickets,9.0,Mumbai Indians,bat first,174
2010-04-21,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,2010,4,21,Runs,35.0,Mumbai Indians,bat first,175
2010-04-22,Mumbai,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,2010,4,22,Runs,38.0,Chennai Super Kings,bat first,176
2010-04-24,Mumbai,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,2010,4,24,Wickets,9.0,Deccan Chargers,bat first,177
2010-04-25,Mumbai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,2010,4,25,Runs,22.0,Chennai Super Kings,bat first,178
2011-04-08,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2011,4,8,Runs,2.0,Chennai Super Kings,bat first,179
2011-04-09,Hyderabad (Deccan),Deccan Chargers,Rajasthan Royals,Rajasthan Royals,2011,4,9,Wickets,8.0,Rajasthan Royals,field first,180
2011-04-09,Kochi,Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore,2011,4,9,Wickets,6.0,Kochi Tuskers Kerala,bat first,181
2011-04-10,Mumbai,Pune Warriors,Kings XI Punjab,Pune Warriors,2011,4,10,Wickets,7.0,Kings XI Punjab,bat first,182
2011-04-10,Delhi,Delhi Capitals,Mumbai Indians,Mumbai Indians,2011,4,10,Wickets,8.0,Delhi Capitals,bat first,183
2011-04-11,Kolkata,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,2011,4,11,Runs,9.0,Kolkata Knight Riders,bat first,184
2011-04-12,Jaipur,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,2011,4,12,Wickets,6.0,Delhi Capitals,bat first,185
2011-04-12,Bengaluru,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,2011,4,12,Wickets,9.0,Mumbai Indians,field first,186
2011-04-13,Mohali,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,2011,4,13,Wickets,6.0,Kings XI Punjab,field first,187
2011-04-13,Mumbai,Pune Warriors,Kochi Tuskers Kerala,Pune Warriors,2011,4,13,Wickets,4.0,Kochi Tuskers Kerala,bat first,188
2011-04-14,Hyderabad (Deccan),Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,2011,4,14,Runs,33.0,Royal Challengers Bangalore,field first,189
2011-04-15,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,2011,4,15,Wickets,9.0,Kolkata Knight Riders,field first,190
2011-04-15,Mumbai,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,2011,4,15,Wickets,8.0,Kochi Tuskers Kerala,field first,191
2011-04-16,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,2011,4,16,Runs,21.0,Chennai Super Kings,bat first,192
2011-04-16,Hyderabad (Deccan),Deccan Chargers,Kings XI Punjab,Kings XI Punjab,2011,4,16,Wickets,8.0,Kings XI Punjab,field first,193
2011-04-17,Mumbai,Pune Warriors,Delhi Capitals,Delhi Capitals,2011,4,17,Wickets,3.0,Delhi Capitals,field first,194
2011-04-17,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,2011,4,17,Wickets,8.0,Kolkata Knight Riders,field first,195
2011-04-18,Kochi,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,2011,4,18,Wickets,7.0,Kochi Tuskers Kerala,field first,196
2011-04-19,Bengaluru,Royal Challengers Bangalore,Rajasthan Royals,abandoned,2011,4,19,,0.0,no toss,no toss,197
2011-04-19,Delhi,Delhi Capitals,Deccan Chargers,Deccan Chargers,2011,4,19,Runs,16.0,Deccan Chargers,bat first,198
2011-04-20,Mumbai,Mumbai Indians,Pune Warriors,Mumbai Indians,2011,4,20,Wickets,7.0,Pune Warriors,bat first,199
2011-04-20,Kolkata,Kolkata Knight Riders,Kochi Tuskers Kerala,Kochi Tuskers Kerala,2011,4,20,Runs,6.0,Kolkata Knight Riders,field first,200
2011-04-21,Mohali,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,2011,4,21,Runs,48.0,Rajasthan Royals,field first,201
2011-04-22,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,2011,4,22,Wickets,9.0,Royal Challengers Bangalore,field first,202
2011-04-22,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,2011,4,22,Runs,8.0,Chennai Super Kings,field first,203
2011-04-23,Delhi,Delhi Capitals,Kings XI Punjab,Delhi Capitals,2011,4,23,Runs,29.0,Kings XI Punjab,field first,204
2011-04-24,Jaipur,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,2011,4,24,Wickets,8.0,Rajasthan Royals,field first,205
2011-04-24,Hyderabad (Deccan),Deccan Chargers,Mumbai Indians,Mumbai Indians,2011,4,24,Runs,37.0,Deccan Chargers,field first,206
2011-04-25,Chennai,Chennai Super Kings,Pune Warriors,Chennai Super Kings,2011,4,25,Runs,25.0,Pune Warriors,field first,207
2011-04-26,Delhi,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,2011,4,26,Wickets,3.0,Royal Challengers Bangalore,field first,208
2011-04-27,Kochi,Kochi Tuskers Kerala,Deccan Chargers,Deccan Chargers,2011,4,27,Runs,55.0,Kochi Tuskers Kerala,field first,209
2011-04-27,Mumbai,Pune Warriors,Chennai Super Kings,Chennai Super Kings,2011,4,27,Wickets,8.0,Pune Warriors,bat first,210
2011-04-28,Delhi,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,2011,4,28,Runs,17.0,Delhi Capitals,field first,211
2011-04-29,Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,2011,4,29,Wickets,7.0,Rajasthan Royals,field first,212
2011-04-29,Bengaluru,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,2011,4,29,Runs,26.0,Pune Warriors,field first,213
2011-04-30,Kochi,Kochi Tuskers Kerala,Delhi Capitals,Delhi Capitals,2011,4,30,Runs,38.0,Delhi Capitals,bat first,214
2011-04-30,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,2011,4,30,Wickets,8.0,Kolkata Knight Riders,field first,215
2011-05-01,Jaipur,Rajasthan Royals,Pune Warriors,Rajasthan Royals,2011,5,1,Wickets,6.0,Rajasthan Royals,field first,216
2011-05-01,Chennai,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,2011,5,1,Runs,19.0,Chennai Super Kings,bat first,217
2011-05-02,Mumbai,Mumbai Indians,Kings XI Punjab,Mumbai Indians,2011,5,2,Runs,23.0,Kings XI Punjab,field first,218
2011-05-02,Delhi,Delhi Capitals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,2011,5,2,Wickets,7.0,Kochi Tuskers Kerala,field first,219
2011-05-03,Hyderabad (Deccan),Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,2011,5,3,Runs,20.0,Deccan Chargers,field first,220
2011-05-04,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,2011,5,4,Wickets,8.0,Rajasthan Royals,bat first,221
2011-05-04,Mumbai,Pune Warriors,Mumbai Indians,Mumbai Indians,2011,5,4,Runs,21.0,Pune Warriors,field first,222
2011-05-05,Hyderabad (Deccan),Deccan Chargers,Delhi Capitals,Delhi Capitals,2011,5,5,Wickets,4.0,Delhi Capitals,field first,223
2011-05-05,Kochi,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,2011,5,5,Runs,17.0,Kolkata Knight Riders,field first,224
2011-05-06,Bengaluru,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,2011,5,6,Runs,85.0,Kings XI Punjab,field first,225
2011-05-07,Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians,2011,5,7,Runs,32.0,Delhi Capitals,field first,226
2011-05-07,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,2011,5,7,Runs,10.0,Chennai Super Kings,bat first,227
2011-05-08,Bengaluru,Royal Challengers Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore,2011,5,8,Wickets,9.0,Kochi Tuskers Kerala,bat first,228
2011-05-08,Mohali,Kings XI Punjab,Pune Warriors,Pune Warriors,2011,5,8,Wickets,5.0,Kings XI Punjab,bat first,229
2011-05-09,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,2011,5,9,Runs,63.0,Rajasthan Royals,field first,230
2011-05-10,Hyderabad (Deccan),Deccan Chargers,Pune Warriors,Pune Warriors,2011,5,10,Wickets,6.0,Deccan Chargers,bat first,231
2011-05-10,Mohali,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,2011,5,10,Runs,76.0,Mumbai Indians,field first,232
2011-05-11,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,2011,5,11,Wickets,9.0,Royal Challengers Bangalore,field first,233
2011-05-12,Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,2011,5,12,Runs,18.0,Chennai Super Kings,bat first,234
2011-05-13,Indore,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,2011,5,13,Wickets,6.0,Kings XI Punjab,field first,235
2011-05-14,Bengaluru,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,2011,5,14,Wickets,4.0,Royal Challengers Bangalore,field first,236
2011-05-14,Mumbai,Mumbai Indians,Deccan Chargers,Deccan Chargers,2011,5,14,Runs,10.0,Deccan Chargers,bat first,237
2011-05-15,Dharamsala,Kings XI Punjab,Delhi Capitals,Kings XI Punjab,2011,5,15,Runs,29.0,Delhi Capitals,field first,238
2011-05-15,Indore,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,2011,5,15,Wickets,8.0,Kochi Tuskers Kerala,field first,239
2011-05-16,Mumbai,Pune Warriors,Deccan Chargers,Deccan Chargers,2011,5,16,Wickets,6.0,Deccan Chargers,field first,240
2011-05-17,Dharamsala,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,2011,5,17,Runs,111.0,Kings XI Punjab,bat first,241
2011-05-18,Chennai,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,2011,5,18,Runs,11.0,Chennai Super Kings,bat first,242
2011-05-19,Mumbai,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,2011,5,19,Wickets,7.0,Kolkata Knight Riders,field first,243
2011-05-20,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,2011,5,20,Wickets,10.0,Mumbai Indians,bat first,244
2011-05-21,Dharamsala,Kings XI Punjab,Deccan Chargers,Deccan Chargers,2011,5,21,Runs,82.0,Kings XI Punjab,field first,245
2011-05-21,Delhi,Delhi Capitals,Pune Warriors,no result,2011,5,21,,0.0,Delhi Capitals,bat first,246
2011-05-22,Bengaluru,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,2011,5,22,Wickets,8.0,Royal Challengers Bangalore,field first,247
2011-05-22,Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,2011,5,22,Wickets,5.0,Mumbai Indians,field first,248
2011-05-24,Mumbai,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,2011,5,24,Wickets,6.0,Chennai Super Kings,field first,249
2011-05-25,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,2011,5,25,Wickets,4.0,Mumbai Indians,field first,250
2011-05-27,Chennai,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,2011,5,27,Runs,43.0,Mumbai Indians,field first,251
2011-05-28,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,2011,5,28,Runs,58.0,Chennai Super Kings,bat first,252
2012-04-04,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,2012,4,4,Wickets,8.0,Mumbai Indians,field first,253
2012-04-05,Kolkata,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,2012,4,5,Wickets,8.0,Delhi Capitals,field first,254
2012-04-06,Jaipur,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,2012,4,6,Runs,31.0,Kings XI Punjab,field first,255
2012-04-06,Mumbai,Mumbai Indians,Pune Warriors,Pune Warriors,2012,4,6,Runs,28.0,Mumbai Indians,field first,256
2012-04-07,Bengaluru,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,2012,4,7,Runs,20.0,Delhi Capitals,field first,257
2012-04-07,Visakhapatnam,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,2012,4,7,Runs,74.0,Deccan Chargers,field first,258
2012-04-08,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,2012,4,8,Runs,22.0,Kolkata Knight Riders,field first,259
2012-04-08,Pune,Pune Warriors,Kings XI Punjab,Pune Warriors,2012,4,8,Runs,22.0,Pune Warriors,bat first,260
2012-04-09,Visakhapatnam,Deccan Chargers,Mumbai Indians,Mumbai Indians,2012,4,9,Wickets,5.0,Deccan Chargers,bat first,261
2012-04-10,Bengaluru,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,2012,4,10,Runs,42.0,Royal Challengers Bangalore,field first,262
2012-04-10,Delhi,Delhi Capitals,Chennai Super Kings,Delhi Capitals,2012,4,10,Wickets,8.0,Delhi Capitals,field first,263
2012-04-11,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,2012,4,11,Runs,27.0,Rajasthan Royals,field first,264
2012-04-12,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,2012,4,12,Wickets,5.0,Royal Challengers Bangalore,bat first,265
2012-04-12,Mohali,Kings XI Punjab,Pune Warriors,Kings XI Punjab,2012,4,12,Wickets,7.0,Kings XI Punjab,field first,266
2012-04-13,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,2012,4,13,Wickets,5.0,Rajasthan Royals,bat first,267
2012-04-14,Pune,Pune Warriors,Chennai Super Kings,Pune Warriors,2012,4,14,Wickets,7.0,Chennai Super Kings,bat first,268
2012-04-15,Bengaluru,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,2012,4,15,Runs,59.0,Rajasthan Royals,bat first,269
2012-04-15,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,2012,4,15,Runs,2.0,Kolkata Knight Riders,field first,270
2012-04-16,Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,2012,4,16,Wickets,7.0,Delhi Capitals,field first,271
2012-04-17,Bengaluru,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,2012,4,17,Wickets,6.0,Pune Warriors,bat first,272
2012-04-17,Jaipur,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,2012,4,17,Wickets,5.0,Deccan Chargers,bat first,273
2012-04-18,Mohali,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,2012,4,18,Wickets,8.0,Kings XI Punjab,bat first,274
2012-04-19,Delhi,Delhi Capitals,Deccan Chargers,Delhi Capitals,2012,4,19,Wickets,5.0,Deccan Chargers,bat first,275
2012-04-19,Chennai,Chennai Super Kings,Pune Warriors,Chennai Super Kings,2012,4,19,Runs,13.0,Pune Warriors,field first,276
2012-04-20,Mohali,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,2012,4,20,Wickets,5.0,Royal Challengers Bangalore,field first,277
2012-04-21,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,2012,4,21,Wickets,7.0,Rajasthan Royals,bat first,278
2012-04-21,Delhi,Delhi Capitals,Pune Warriors,Pune Warriors,2012,4,21,Runs,20.0,Delhi Capitals,field first,279
2012-04-22,Cuttack,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,2012,4,22,Wickets,5.0,Kolkata Knight Riders,field first,280
2012-04-22,Mumbai,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,2012,4,22,Wickets,6.0,Mumbai Indians,bat first,281
2012-04-23,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,2012,4,23,Runs,46.0,Rajasthan Royals,field first,282
2012-04-24,Pune,Pune Warriors,Delhi Capitals,Delhi Capitals,2012,4,24,Wickets,8.0,Pune Warriors,bat first,283
2012-04-24,Kolkata,Kolkata Knight Riders,Deccan Chargers,abandoned,2012,4,24,,0.0,no toss,no toss,284
2012-04-25,Mohali,Kings XI Punjab,Mumbai Indians,Mumbai Indians,2012,4,25,Wickets,4.0,Kings XI Punjab,bat first,285
2012-04-25,Bengaluru,Royal Challengers Bangalore,Chennai Super Kings,no result,2012,4,25,,0.0,Royal Challengers Bangalore,field first,286
2012-04-26,Pune,Pune Warriors,Deccan Chargers,Deccan Chargers,2012,4,26,Runs,18.0,Deccan Chargers,bat first,287
2012-04-27,Delhi,Delhi Capitals,Mumbai Indians,Delhi Capitals,2012,4,27,Runs,37.0,Mumbai Indians,field first,288
2012-04-28,Chennai,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,2012,4,28,Runs,7.0,Kings XI Punjab,bat first,289
2012-04-28,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,2012,4,28,Runs,47.0,Kolkata Knight Riders,bat first,290
2012-04-29,Delhi,Delhi Capitals,Rajasthan Royals,Delhi Capitals,2012,4,29,Runs,1.0,Delhi Capitals,bat first,291
2012-04-29,Mumbai,Mumbai Indians,Deccan Chargers,Mumbai Indians,2012,4,29,Wickets,5.0,Mumbai Indians,field first,292
2012-04-30,Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,2012,4,30,Wickets,5.0,Chennai Super Kings,bat first,293
2012-05-01,Cuttack,Deccan Chargers,Pune Warriors,Deccan Chargers,2012,5,1,Runs,13.0,Deccan Chargers,bat first,294
2012-05-01,Jaipur,Rajasthan Royals,Delhi Capitals,Delhi Capitals,2012,5,1,Wickets,6.0,Rajasthan Royals,bat first,295
2012-05-02,Bengaluru,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,2012,5,2,Wickets,4.0,Kings XI Punjab,field first,296
2012-05-03,Pune,Pune Warriors,Mumbai Indians,Mumbai Indians,2012,5,3,Runs,1.0,Mumbai Indians,bat first,297
2012-05-04,Chennai,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,2012,5,4,Runs,10.0,Chennai Super Kings,bat first,298
2012-05-05,Kolkata,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,2012,5,5,Runs,7.0,Kolkata Knight Riders,bat first,299
2012-05-05,Mohali,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,2012,5,5,Runs,43.0,Rajasthan Royals,bat first,300
2012-05-06,Bengaluru,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,2012,5,6,Wickets,5.0,Royal Challengers Bangalore,field first,301
2012-05-06,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,2012,5,6,Wickets,2.0,Mumbai Indians,field first,302
2012-05-07,Delhi,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,2012,5,7,Wickets,6.0,Delhi Capitals,bat first,303
2012-05-08,Pune,Pune Warriors,Rajasthan Royals,Rajasthan Royals,2012,5,8,Wickets,7.0,Pune Warriors,bat first,304
2012-05-08,Hyderabad (Deccan),Deccan Chargers,Kings XI Punjab,Kings XI Punjab,2012,5,8,Runs,25.0,Deccan Chargers,field first,305
2012-05-09,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,2012,5,9,Wickets,9.0,Royal Challengers Bangalore,field first,306
2012-05-10,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,2012,5,10,Wickets,4.0,Chennai Super Kings,field first,307
